st,rptdate,# Received UI Payment,# Remployed by next Quarter,
AK,12/31/18,6533,3648,
AK,3/31/19,6193,4643,
AK,6/30/19,3692,2853,
AK,9/30/19,2512,1688,
AL,12/31/18,11120,6954,
AL,3/31/19,14479,10370,
AL,6/30/19,11449,7376,
AR,12/31/18,9320,6537,
AR,3/31/19,10087,7482,
AR,6/30/19,8921,6406,
AR,9/30/19,8436,5933,
AZ,12/31/18,12391,7871,
AZ,3/31/19,12394,7930,
AZ,6/30/19,17484,10467,
AZ,9/30/19,16959,12319,
CA,12/31/18,224744,115464,
CA,3/31/19,279892,181024,
CA,6/30/19,197716,123211,
CO,12/31/18,15885,8930,
CO,3/31/19,20510,9850,
CO,6/30/19,14552,9165,
CO,9/30/19,12655,7594,
CT,12/31/18,22802,11846,
CT,3/31/19,34185,25210,
CT,6/30/19,19614,12280,
CT,9/30/19,22981,15791,
DC,12/31/18,4774,2337,
DC,3/31/19,8723,6962,
DC,6/30/19,4193,2552,
DC,9/30/19,5022,3282,
DE,12/31/18,3134,1804,
DE,3/31/19,4377,3287,
DE,6/30/19,2617,1761,
DE,9/30/19,3206,2385,
FL,12/31/18,38694,22855,
GA,12/31/18,34243,24760,
GA,3/31/19,39449,29136,
HI,12/31/18,4986,3253,
HI,3/31/19,5866,4364,
HI,6/30/19,5276,3725,
HI,9/30/19,5063,3627,
IA,12/31/18,17444,10729,
IA,3/31/19,31828,27707,
IA,6/30/19,12650,9532,
IA,9/30/19,13820,10811,
ID,12/31/18,7061,5823,
ID,3/31/19,9334,8158,
ID,6/30/19,3800,3173,
ID,9/30/19,2634,2201,
IL,12/31/18,70352,38548,
IL,3/31/19,92187,65099,
IL,6/30/19,51602,31573,
IL,9/30/19,52780,33579,
IN,12/31/18,18582,12244,
IN,3/31/19,23174,18455,
IN,6/30/19,11976,7664,
IN,9/30/19,12204,7953,
KS,12/31/18,6936,4254,
KS,3/31/19,11598,8500,
KS,6/30/19,6289,4140,
KS,9/30/19,6503,4344,
LA,12/31/18,11071,6985,
LA,3/31/19,9021,5344,
LA,6/30/19,9768,6127,
LA,9/30/19,10300,6294,
MA,12/31/18,38221,21981,
MA,3/31/19,56905,45101,
MA,6/30/19,30996,21134,
MA,9/30/19,35080,25844,
MD,12/31/18,19926,11566,
MD,3/31/19,27068,19655,
MD,6/30/19,16348,10499,
MD,9/30/19,17983,12220,
ME,12/31/18,4770,2351,
ME,3/31/19,7373,6081,
ME,6/30/19,3589,2722,
ME,9/30/19,2652,1987,
MI,12/31/18,46930,25914,
MI,3/31/19,80339,68575,
MI,6/30/19,34403,25066,
MI,9/30/19,42060,33332,
MN,12/31/18,31743,18335,
MN,3/31/19,38761,32729,
MN,6/30/19,16900,12333,
MN,9/30/19,14359,10405,
MO,12/31/18,16768,11321,
MO,3/31/19,25750,20384,
MO,6/30/19,13643,9643,
MO,9/30/19,15995,11755,
MS,12/31/18,4464,2778,
MS,3/31/19,5248,3663,
ND,12/31/18,4269,2676,
ND,3/31/19,5950,5386,
ND,6/30/19,2131,1677,
ND,9/30/19,2228,1771,
NE,12/31/18,3860,2187,
NH,12/31/18,2471,1557,
NH,3/31/19,3831,3073,
NH,6/30/19,2370,1779,
NH,9/30/19,2473,1865,
NJ,12/31/18,58581,28959,
NJ,3/31/19,77061,53437,
NJ,6/30/19,47424,27346,
NJ,9/30/19,61480,41891,
NM,12/31/18,5924,2778,
NM,3/31/19,7080,4577,
NM,6/30/19,5667,3370,
NM,9/30/19,4922,2728,
NV,12/31/18,15402,10238,
NV,3/31/19,14990,10343,
NV,6/30/19,12181,8095,
NV,9/30/19,12883,8692,
OH,12/31/18,35726,18773,
OH,3/31/19,56758,45251,
OH,6/30/19,34271,24092,
OH,9/30/19,27617,17313,
OK,12/31/18,9153,5405,
OK,6/30/19,10553,6737,
OR,12/31/18,24805,15426,
OR,3/31/19,27900,19119,
OR,6/30/19,17871,10518,
OR,9/30/19,20183,12367,
PA,12/31/18,67630,41536,
PA,3/31/19,108788,86305,
PA,6/30/19,66255,45813,
PA,9/30/19,71881,52040,
RI,12/31/18,5937,2425,
RI,3/31/19,10055,7956,
RI,6/30/19,4785,3056,
RI,9/30/19,5847,4402,
SD,12/31/18,1362,655,
SD,3/31/19,2833,2560,
SD,6/30/19,836,655,
SD,9/30/19,841,663,
TN,12/31/18,15241,60,
TN,3/31/19,14416,31,
TN,6/30/19,15144,10001,
TN,9/30/19,37858,54,
TX,12/31/18,82203,52754,
TX,3/31/19,94455,65593,
TX,6/30/19,88754,58984,
TX,9/30/19,92022,59753,
UT,12/31/18,8542,5498,
UT,3/31/19,11337,7967,
UT,6/30/19,5877,4216,
UT,9/30/19,5305,3663,
VA,12/31/18,13854,7807,
VA,3/31/19,21529,15441,
VA,6/30/19,15711,10284,
VT,12/31/18,3612,2288,
VT,3/31/19,5132,4359,
VT,6/30/19,3026,2359,
VT,9/30/19,2038,1507,
WA,12/31/18,45515,30009,
WA,3/31/19,53504,42232,
WA,6/30/19,33615,24592,
WA,9/30/19,31873,22721,
WI,12/31/18,26260,18784,
WI,3/31/19,41474,37615,
WI,6/30/19,19538,16191,
WI,9/30/19,19040,15917,
WV,12/31/18,8875,5202,
WV,3/31/19,15232,12058,
WV,6/30/19,6633,4553,
WV,9/30/19,6751,4278,
WY,12/31/18,2600,1237,
WY,3/31/19,3394,2051,
WY,6/30/19,1838,890,
WY,9/30/19,1669,659,
