State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Alabama,9/21/2019,"1,999",9/14/2019,"15,060","1,908,660",0.79,,,
Alabama,9/28/2019,"1,879",9/21/2019,"14,687","1,908,660",0.77,,,
Alabama,10/5/2019,"2,057",9/28/2019,"14,607","1,908,660",0.77,,,
Alabama,10/12/2019,"2,161",10/5/2019,"14,430","1,914,918",0.75,,,
Alabama,10/19/2019,"1,703",10/12/2019,"14,490","1,914,918",0.76,,,
Alabama,10/26/2019,"1,984",10/19/2019,"14,197","1,914,918",0.74,,,
Alabama,11/2/2019,"1,977",10/26/2019,"14,214","1,914,918",0.74,,,
Alabama,11/9/2019,"2,208",11/2/2019,"14,125","1,914,918",0.74,,,
Alabama,11/16/2019,"1,888",11/9/2019,"14,152","1,914,918",0.74,,,
Alabama,11/23/2019,"2,290",11/16/2019,"14,304","1,914,918",0.75,,,
Alabama,11/30/2019,"2,032",11/23/2019,"14,157","1,914,918",0.74,,,
Alabama,12/7/2019,"3,227",11/30/2019,"15,961","1,914,918",0.83,,,
Alabama,12/14/2019,"2,362",12/7/2019,"15,078","1,914,918",0.79,,,
Alabama,12/21/2019,"3,163",12/14/2019,"15,146","1,914,918",0.79,,,
Alabama,12/28/2019,"3,200",12/21/2019,"15,544","1,914,918",0.81,,,
Alabama,1/4/2020,"4,578",12/28/2019,"18,523","1,923,741",0.96,,,
Alabama,1/11/2020,"3,629",1/4/2020,"21,143","1,923,741",1.1,,,
Alabama,1/18/2020,"2,483",1/11/2020,"17,402","1,923,741",0.9,,,
Alabama,1/25/2020,"2,129",1/18/2020,"18,390","1,923,741",0.96,,,
Alabama,2/1/2020,"2,170",1/25/2020,"17,284","1,923,741",0.9,,,
Alabama,2/8/2020,"2,176",2/1/2020,"16,745","1,923,741",0.87,,,
Alabama,2/15/2020,"1,981",2/8/2020,"16,571","1,923,741",0.86,,,
Alabama,2/22/2020,"1,735",2/15/2020,"16,059","1,923,741",0.83,,,
Alabama,2/29/2020,"1,575",2/22/2020,"14,721","1,923,741",0.77,,,
Alabama,3/7/2020,"1,663",2/29/2020,"13,657","1,923,741",0.71,,,
Alabama,3/14/2020,"1,819",3/7/2020,"13,070","1,923,741",0.68,,,
Alabama,3/21/2020,"10,892",3/14/2020,"12,487","1,923,741",0.65,,,
Alabama,3/28/2020,"80,984",3/21/2020,"18,083","1,923,741",0.94,,,
Alabama,4/4/2020,"106,739",3/28/2020,"52,176","1,923,741",2.71,,,
Alabama,4/11/2020,"77,515",4/4/2020,"95,325","1,929,897",4.94,,,
Alabama,4/18/2020,"66,432",4/11/2020,"144,327","1,929,897",7.48,,,
Alabama,4/25/2020,"74,966",4/18/2020,"173,855","1,929,897",9.01,,,
Alabama,5/2/2020,"28,985",4/25/2020,"214,684","1,929,897",11.12,,,
Alabama,5/9/2020,"26,666",5/2/2020,"216,856","1,929,897",11.24,,,
Alabama,5/16/2020,"25,150",5/9/2020,"203,677","1,929,897",10.55,,,
Alabama,5/23/2020,"27,919",5/16/2020,"190,205","1,929,897",9.86,,,
Alabama,5/30/2020,"21,335",5/23/2020,"183,565","1,929,897",9.51,,,
Alabama,6/6/2020,"19,949",5/30/2020,"180,245","1,929,897",9.34,,,
Alabama,6/13/2020,"18,367",6/6/2020,"163,982","1,929,897",8.5,,,
Alabama,6/20/2020,"18,671",6/13/2020,"150,002","1,929,897",7.77,,,
Alabama,6/27/2020,"18,338",6/20/2020,"141,450","1,929,897",7.33,,,
Alabama,7/4/2020,"19,056",6/27/2020,"138,272","1,929,897",7.16,,,
Alabama,7/11/2020,"20,563",7/4/2020,"117,388","1,935,262",6.07,,,
Alabama,7/18/2020,"23,676",7/11/2020,"105,644","1,935,262",5.46,,,
Alabama,7/25/2020,"17,437",7/18/2020,"94,069","1,935,262",4.86,,,
Alabama,8/1/2020,"11,690",7/25/2020,"84,070","1,935,262",4.34,,,
Alabama,8/8/2020,"9,467",8/1/2020,"70,412","1,935,262",3.64,,,
Alabama,8/15/2020,"11,047",8/8/2020,"58,275","1,935,262",3.01,,,
Alabama,8/22/2020,"8,676",8/15/2020,"51,991","1,935,262",2.69,,,
Alabama,8/29/2020,"8,511",8/22/2020,"48,797","1,935,262",2.52,,,
Alabama,9/5/2020,"8,901",8/29/2020,"44,546","1,935,262",2.3,,,
Alabama,9/12/2020,"8,848",9/5/2020,"40,198","1,935,262",2.08,,,
Alabama,9/19/2020,"8,679",9/12/2020,"37,431","1,935,262",1.93,,,
Alabama,9/26/2020,"8,805",9/19/2020,"34,997","1,935,262",1.81,,,
Alabama,10/3/2020,"7,732",9/26/2020,"30,716","1,935,262",1.59,,,
Alabama,10/10/2020,"8,581",10/3/2020,"27,063","1,939,059",1.4,,,
Alabama,10/17/2020,"7,964",10/10/2020,"43,493","1,939,059",2.24,,,
Alabama,10/24/2020,"7,126",10/17/2020,"35,544","1,939,059",1.83,,,
Alabama,10/31/2020,"7,060",10/24/2020,"31,693","1,939,059",1.63,,,
Alabama,11/7/2020,"8,764",10/31/2020,"28,422","1,939,059",1.47,,,
Alabama,11/14/2020,"9,262",11/7/2020,"25,256","1,939,059",1.3,,,
Alabama,11/21/2020,"11,813",11/14/2020,"25,647","1,939,059",1.32,,,
Alabama,11/28/2020,"7,061",11/21/2020,"22,949","1,939,059",1.18,,,
Alabama,12/5/2020,"7,656",11/28/2020,"24,658","1,939,059",1.27,,,
Alabama,12/12/2020,"7,568",12/5/2020,"23,443","1,939,059",1.21,,,
Alabama,12/19/2020,"7,543",12/12/2020,"23,327","1,939,059",1.2,,,
Alabama,12/26/2020,"5,506",12/19/2020,"23,053","1,939,059",1.19,,,
Alaska,1/5/2019,"1,240",12/29/2018,"10,560","306,445",3.45,,,
Alaska,1/12/2019,"1,805",1/5/2019,"10,605","306,108",3.46,,,
Alaska,1/19/2019,"1,423",1/12/2019,"10,505","306,108",3.43,,,
Alaska,1/26/2019,"1,119",1/19/2019,"10,617","306,108",3.47,,,
Alaska,2/2/2019,"1,145",1/26/2019,"10,175","306,108",3.32,,,
Alaska,2/9/2019,"1,029",2/2/2019,"10,324","306,108",3.37,,,
Alaska,2/16/2019,"1,022",2/9/2019,"9,707","306,108",3.17,,,
Alaska,2/23/2019,904,2/16/2019,"10,165","306,108",3.32,,,
Alaska,3/2/2019,926,2/23/2019,"9,334","306,108",3.05,,,
Alaska,3/9/2019,949,3/2/2019,"9,649","306,108",3.15,,,
Alaska,3/16/2019,955,3/9/2019,"8,934","306,108",2.92,,,
Alaska,3/23/2019,850,3/16/2019,"9,264","306,108",3.03,,,
Alaska,3/30/2019,887,3/23/2019,"8,523","306,108",2.78,,,
Alaska,4/6/2019,891,3/30/2019,"8,583","306,108",2.8,,,
Alaska,4/13/2019,992,4/6/2019,"7,853","305,751",2.57,,,
Alaska,4/20/2019,862,4/13/2019,"7,792","305,751",2.55,,,
Alaska,4/27/2019,863,4/20/2019,"7,604","305,751",2.49,,,
Alaska,5/4/2019,823,4/27/2019,"7,512","305,751",2.46,,,
Alaska,5/11/2019,771,5/4/2019,"7,280","305,751",2.38,,,
Alaska,5/18/2019,819,5/11/2019,"6,861","305,751",2.24,,,
Alaska,5/25/2019,987,5/18/2019,"6,601","305,751",2.16,,,
Alaska,6/1/2019,973,5/25/2019,"6,235","305,751",2.04,,,
Alaska,6/8/2019,909,6/1/2019,"6,375","305,751",2.09,,,
Alaska,6/15/2019,733,6/8/2019,"6,030","305,751",1.97,,,
Alaska,6/22/2019,754,6/15/2019,"5,869","305,751",1.92,,,
Alaska,6/29/2019,689,6/22/2019,"5,404","305,751",1.77,,,
Alaska,7/6/2019,552,6/29/2019,"5,310","305,751",1.74,,,
Alaska,7/13/2019,696,7/6/2019,"5,262","306,179",1.72,,,
Alaska,7/20/2019,649,7/13/2019,"5,065","306,179",1.65,,,
Alaska,7/27/2019,619,7/20/2019,"5,028","306,179",1.64,,,
Alaska,8/3/2019,682,7/27/2019,"4,875","306,179",1.59,,,
Alaska,8/10/2019,693,8/3/2019,"5,019","306,179",1.64,,,
Alaska,8/17/2019,698,8/10/2019,"4,886","306,179",1.6,,,
Alaska,8/24/2019,701,8/17/2019,"4,856","306,179",1.59,,,
Alaska,8/31/2019,682,8/24/2019,"4,616","306,179",1.51,,,
Alaska,9/7/2019,687,8/31/2019,"4,541","306,179",1.48,,,
Alaska,9/14/2019,716,9/7/2019,"4,510","306,179",1.47,,,
Alaska,9/21/2019,808,9/14/2019,"4,720","306,179",1.54,,,
Alaska,9/28/2019,866,9/21/2019,"4,730","306,179",1.54,,,
Alaska,10/5/2019,856,9/28/2019,"5,203","306,179",1.7,,,
Alaska,10/12/2019,"1,184",10/5/2019,"5,094","306,493",1.66,,,
Alaska,10/19/2019,"1,005",10/12/2019,"5,629","306,493",1.84,,,
Alaska,10/26/2019,"1,109",10/19/2019,"6,260","306,493",2.04,,,
Alaska,11/2/2019,"1,166",10/26/2019,"6,357","306,493",2.07,,,
Alaska,11/9/2019,"1,319",11/2/2019,"7,103","306,493",2.32,,,
Alaska,11/16/2019,"1,194",11/9/2019,"7,545","306,493",2.46,,,
Alaska,11/23/2019,"1,243",11/16/2019,"8,527","306,493",2.78,,,
Alaska,11/30/2019,941,11/23/2019,"8,196","306,493",2.67,,,
Alaska,12/7/2019,"1,146",11/30/2019,"9,537","306,493",3.11,,,
Alaska,12/14/2019,949,12/7/2019,"8,645","306,493",2.82,,,
Alaska,12/21/2019,"1,027",12/14/2019,"9,772","306,493",3.19,,,
Alaska,12/28/2019,860,12/21/2019,"8,659","306,493",2.83,,,
Alaska,1/4/2020,981,12/28/2019,"10,177","306,493",3.32,,,
Alaska,1/11/2020,"1,371",1/4/2020,"9,310","307,329",3.03,,,
Alaska,1/18/2020,"1,181",1/11/2020,"9,984","307,329",3.25,,,
Alaska,1/25/2020,"1,003",1/18/2020,"9,496","307,329",3.09,,,
Alaska,2/1/2020,"1,122",1/25/2020,"9,579","307,329",3.12,,,
Alaska,2/8/2020,980,2/1/2020,"9,161","307,329",2.98,,,
Alaska,2/15/2020,915,2/8/2020,"9,343","307,329",3.04,,,
Alaska,2/22/2020,773,2/15/2020,"8,864","307,329",2.88,,,
Alaska,2/29/2020,874,2/22/2020,"8,938","307,329",2.91,,,
Alaska,3/7/2020,815,2/29/2020,"8,266","307,329",2.69,,,
Alaska,3/14/2020,"1,120",3/7/2020,"8,522","307,329",2.77,,,
Alaska,3/21/2020,"7,847",3/14/2020,"8,512","307,329",2.77,,,
Alaska,3/28/2020,"13,774",3/21/2020,"11,173","307,329",3.64,,,
Alaska,4/4/2020,"14,590",3/28/2020,"19,845","307,329",6.46,,,
Alaska,4/11/2020,"12,007",4/4/2020,"35,365","308,137",11.48,,,
Alaska,4/18/2020,"12,201",4/11/2020,"48,096","308,137",15.61,,,
Alaska,4/25/2020,"10,313",4/18/2020,"52,022","308,137",16.88,,,
Alaska,5/2/2020,"8,718",4/25/2020,"49,893","308,137",16.19,,,
Alaska,5/9/2020,"7,807",5/2/2020,"50,791","308,137",16.48,,,
Alaska,5/16/2020,"7,741",5/9/2020,"50,049","308,137",16.24,,,
Alaska,5/23/2020,"8,152",5/16/2020,"48,000","308,137",15.58,,,
Alaska,5/30/2020,"7,452",5/23/2020,"47,344","308,137",15.36,,,
Alaska,6/6/2020,"7,081",5/30/2020,"47,123","308,137",15.29,,,
Alaska,6/13/2020,"6,797",6/6/2020,"45,792","308,137",14.86,,,
Alaska,6/20/2020,"6,757",6/13/2020,"44,380","308,137",14.4,,,
Alaska,6/27/2020,"6,467",6/20/2020,"43,208","308,137",14.02,,,
Alaska,7/4/2020,"6,124",6/27/2020,"42,110","308,137",13.67,,,
Alaska,7/11/2020,"9,572",7/4/2020,"43,225","308,691",14,,,
Alaska,7/18/2020,"6,606",7/11/2020,"41,685","308,691",13.5,,,
Alaska,7/25/2020,"6,069",7/18/2020,"40,596","308,691",13.15,,,
Alaska,8/1/2020,"5,195",7/25/2020,"39,002","308,691",12.63,,,
Alaska,8/8/2020,"4,619",8/1/2020,"34,442","308,691",11.16,,,
Alaska,8/15/2020,"4,731",8/8/2020,"32,899","308,691",10.66,,,
Alaska,8/22/2020,"4,344",8/15/2020,"31,673","308,691",10.26,,,
Alaska,8/29/2020,"4,057",8/22/2020,"29,524","308,691",9.56,,,
Alaska,9/5/2020,"3,817",8/29/2020,"27,536","308,691",8.92,,,
Alaska,9/12/2020,"3,593",9/5/2020,"25,762","308,691",8.35,,,
Alaska,9/19/2020,"3,631",9/12/2020,"24,089","308,691",7.8,,,
Alaska,9/26/2020,"3,600",9/19/2020,"22,532","308,691",7.3,,,
Alaska,10/3/2020,"3,719",9/26/2020,"21,131","308,691",6.85,,,
Alaska,10/10/2020,"5,708",10/3/2020,"20,264","308,959",6.56,,,
Alaska,10/17/2020,"4,608",10/10/2020,"19,754","308,959",6.39,,,
Alaska,10/24/2020,"4,388",10/17/2020,"18,974","308,959",6.14,,,
Alaska,10/31/2020,"4,451",10/24/2020,"18,867","308,959",6.11,,,
Alaska,11/7/2020,"4,545",10/31/2020,"19,083","308,959",6.18,,,
Alaska,11/14/2020,"4,605",11/7/2020,"19,332","308,959",6.26,,,
Alaska,11/21/2020,"4,531",11/14/2020,"19,831","308,959",6.42,,,
Alaska,11/28/2020,"3,834",11/21/2020,"19,466","308,959",6.3,,,
Alaska,12/5/2020,"4,525",11/28/2020,"20,295","308,959",6.57,,,
Alaska,12/12/2020,"4,507",12/5/2020,"20,269","308,959",6.56,,,
Alaska,12/19/2020,"4,016",12/12/2020,"20,235","308,959",6.55,,,
Alaska,12/26/2020,"3,923",12/19/2020,"19,791","308,959",6.41,,,
Arkansas,1/5/2019,"3,478",12/29/2018,"14,206","1,183,443",1.2,,,
Arkansas,1/12/2019,"2,552",1/5/2019,"14,322","1,185,652",1.21,,,
Arkansas,1/19/2019,"1,804",1/12/2019,"13,132","1,185,652",1.11,,,
Arkansas,1/26/2019,"1,720",1/19/2019,"12,740","1,185,652",1.07,,,
Arkansas,2/2/2019,"1,843",1/26/2019,"13,129","1,185,652",1.11,,,
Arkansas,2/9/2019,"1,804",2/2/2019,"12,835","1,185,652",1.08,,,
Arkansas,2/16/2019,"1,789",2/9/2019,"12,390","1,185,652",1.04,,,
Arkansas,2/23/2019,"1,450",2/16/2019,"12,466","1,185,652",1.05,,,
Arkansas,3/2/2019,"1,826",2/23/2019,"12,119","1,185,652",1.02,,,
Arkansas,3/9/2019,"1,396",3/2/2019,"11,632","1,185,652",0.98,,,
Arkansas,3/16/2019,"1,442",3/9/2019,"10,973","1,185,652",0.93,,,
Arkansas,3/23/2019,"2,263",3/16/2019,"10,415","1,185,652",0.88,,,
Arkansas,3/30/2019,"1,219",3/23/2019,"11,003","1,185,652",0.93,,,
Arkansas,4/6/2019,"2,250",3/30/2019,"9,788","1,185,652",0.83,,,
Arkansas,4/13/2019,"1,451",4/6/2019,"10,259","1,188,140",0.86,,,
Arkansas,4/20/2019,"1,413",4/13/2019,"9,669","1,188,140",0.81,,,
Arkansas,4/27/2019,"1,337",4/20/2019,"9,842","1,188,140",0.83,,,
Arkansas,5/4/2019,"1,477",4/27/2019,"9,624","1,188,140",0.81,,,
Arkansas,5/11/2019,"1,682",5/4/2019,"9,348","1,188,140",0.79,,,
Arkansas,5/18/2019,"1,697",5/11/2019,"9,623","1,188,140",0.81,,,
Arkansas,5/25/2019,"1,991",5/18/2019,"9,815","1,188,140",0.83,,,
Arkansas,6/1/2019,"2,602",5/25/2019,"10,139","1,188,140",0.85,,,
Arkansas,6/8/2019,"3,049",6/1/2019,"11,510","1,188,140",0.97,,,
Arkansas,6/15/2019,"1,736",6/8/2019,"12,900","1,188,140",1.09,,,
Arkansas,6/22/2019,"1,492",6/15/2019,"12,639","1,188,140",1.06,,,
Arkansas,6/29/2019,"1,564",6/22/2019,"12,603","1,188,140",1.06,,,
Arkansas,7/6/2019,"2,938",6/29/2019,"12,156","1,188,140",1.02,,,
Arkansas,7/13/2019,"1,757",7/6/2019,"13,856","1,190,937",1.16,,,
Arkansas,7/20/2019,"1,516",7/13/2019,"13,812","1,190,937",1.16,,,
Arkansas,7/27/2019,"1,437",7/20/2019,"13,004","1,190,937",1.09,,,
Arkansas,8/3/2019,"1,343",7/27/2019,"13,188","1,190,937",1.11,,,
Arkansas,8/10/2019,"1,586",8/3/2019,"12,339","1,190,937",1.04,,,
Arkansas,8/17/2019,"1,422",8/10/2019,"11,950","1,190,937",1,,,
Arkansas,8/24/2019,"1,601",8/17/2019,"10,912","1,190,937",0.92,,,
Arkansas,8/31/2019,"1,454",8/24/2019,"10,774","1,190,937",0.9,,,
Arkansas,9/7/2019,"2,122",8/31/2019,"10,222","1,190,937",0.86,,,
Arkansas,9/14/2019,"1,349",9/7/2019,"10,809","1,190,937",0.91,,,
Arkansas,9/21/2019,"1,296",9/14/2019,"10,201","1,190,937",0.86,,,
Arkansas,9/28/2019,"1,346",9/21/2019,"9,781","1,190,937",0.82,,,
Arkansas,10/5/2019,"1,884",9/28/2019,"9,598","1,190,937",0.81,,,
Arkansas,10/12/2019,"1,499",10/5/2019,"9,712","1,193,713",0.81,,,
Arkansas,10/19/2019,"1,404",10/12/2019,"9,830","1,193,713",0.82,,,
Arkansas,10/26/2019,"1,610",10/19/2019,"9,940","1,193,713",0.83,,,
Arkansas,11/2/2019,"2,189",10/26/2019,"10,050","1,193,713",0.84,,,
Arkansas,11/9/2019,"1,731",11/2/2019,"10,637","1,193,713",0.89,,,
Arkansas,11/16/2019,"1,780",11/9/2019,"10,054","1,193,713",0.84,,,
Arkansas,11/23/2019,"1,752",11/16/2019,"10,767","1,193,713",0.9,,,
Arkansas,11/30/2019,"2,567",11/23/2019,"10,063","1,193,713",0.84,,,
Arkansas,12/7/2019,"2,436",11/30/2019,"12,569","1,193,713",1.05,,,
Arkansas,12/14/2019,"1,809",12/7/2019,"11,610","1,193,713",0.97,,,
Arkansas,12/21/2019,"2,579",12/14/2019,"11,755","1,193,713",0.98,,,
Arkansas,12/28/2019,"3,545",12/21/2019,"12,032","1,193,713",1.01,,,
Arkansas,1/4/2020,"2,576",12/28/2019,"15,323","1,193,713",1.28,,,
Arkansas,1/11/2020,"2,493",1/4/2020,"15,536","1,195,622",1.3,,,
Arkansas,1/18/2020,"1,729",1/11/2020,"13,229","1,195,622",1.11,,,
Arkansas,1/25/2020,"1,683",1/18/2020,"12,331","1,195,622",1.03,,,
Arkansas,2/1/2020,"1,837",1/25/2020,"13,210","1,195,622",1.1,,,
Arkansas,2/8/2020,"1,724",2/1/2020,"12,964","1,195,622",1.08,,,
Arkansas,2/15/2020,"1,602",2/8/2020,"12,979","1,195,622",1.09,,,
Arkansas,2/22/2020,"1,055",2/15/2020,"12,546","1,195,622",1.05,,,
Arkansas,2/29/2020,"1,418",2/22/2020,"12,244","1,195,622",1.02,,,
Arkansas,3/7/2020,"1,843",2/29/2020,"11,618","1,195,622",0.97,,,
Arkansas,3/14/2020,"1,382",3/7/2020,"11,514","1,195,622",0.96,,,
Arkansas,3/21/2020,"9,275",3/14/2020,"10,988","1,195,622",0.92,,,
Arkansas,3/28/2020,"27,756",3/21/2020,"16,148","1,195,622",1.35,,,
Arkansas,4/4/2020,"62,086",3/28/2020,"36,499","1,195,622",3.05,,,
Arkansas,4/11/2020,"35,629",4/4/2020,"66,511","1,196,468",5.56,,,
Arkansas,4/18/2020,"25,404",4/11/2020,"91,278","1,196,468",7.63,,,
Arkansas,4/25/2020,"17,671",4/18/2020,"109,337","1,196,468",9.14,,,
Arkansas,5/2/2020,"13,448",4/25/2020,"119,332","1,196,468",9.97,,,
Arkansas,5/9/2020,"13,152",5/2/2020,"122,522","1,196,468",10.24,,,
Arkansas,5/16/2020,"11,427",5/9/2020,"122,408","1,196,468",10.23,,,
Arkansas,5/23/2020,"10,825",5/16/2020,"120,043","1,196,468",10.03,,,
Arkansas,5/30/2020,"8,481",5/23/2020,"115,365","1,196,468",9.64,,,
Arkansas,6/6/2020,"9,663",5/30/2020,"115,482","1,196,468",9.65,,,
Arkansas,6/13/2020,"9,381",6/6/2020,"113,623","1,196,468",9.5,,,
Arkansas,6/20/2020,"9,669",6/13/2020,"112,189","1,196,468",9.38,,,
Arkansas,6/27/2020,"10,395",6/20/2020,"108,691","1,196,468",9.08,,,
Arkansas,7/4/2020,"10,832",6/27/2020,"104,692","1,196,468",8.75,,,
Arkansas,7/11/2020,"14,155",7/4/2020,"99,083","1,197,760",8.27,,,
Arkansas,7/18/2020,"15,932",7/11/2020,"100,026","1,197,760",8.35,,,
Arkansas,7/25/2020,"15,257",7/18/2020,"94,113","1,197,760",7.86,,,
Arkansas,8/1/2020,"12,750",7/25/2020,"79,564","1,197,760",6.64,,,
Arkansas,8/8/2020,"5,908",8/1/2020,"62,402","1,197,760",5.21,,,
Arkansas,8/15/2020,"6,351",8/8/2020,"52,946","1,197,760",4.42,,,
Arkansas,8/22/2020,"5,660",8/15/2020,"48,069","1,197,760",4.01,,,
Arkansas,8/29/2020,"5,337",8/22/2020,"44,564","1,197,760",3.72,,,
Arkansas,9/5/2020,"5,624",8/29/2020,"42,795","1,197,760",3.57,,,
Arkansas,9/12/2020,"4,585",9/5/2020,"38,926","1,197,760",3.25,,,
Arkansas,9/19/2020,"5,778",9/12/2020,"40,856","1,197,760",3.41,,,
Arkansas,9/26/2020,"6,137",9/19/2020,"37,975","1,197,760",3.17,,,
Arkansas,10/3/2020,"5,484",9/26/2020,"36,883","1,197,760",3.08,,,
Arkansas,10/10/2020,"5,719",10/3/2020,"32,303","1,197,760",2.7,,,
Arkansas,10/17/2020,"4,318",10/10/2020,"30,873","1,199,243",2.57,,,
Arkansas,10/24/2020,"4,019",10/17/2020,"26,311","1,199,243",2.19,,,
Arkansas,10/31/2020,"4,014",10/24/2020,"27,441","1,199,243",2.29,,,
Arkansas,11/7/2020,"3,672",10/31/2020,"24,049","1,199,243",2.01,,,
Arkansas,11/14/2020,"3,484",11/7/2020,"21,884","1,199,243",1.82,,,
Arkansas,11/21/2020,"4,276",11/14/2020,"24,239","1,199,243",2.02,,,
Arkansas,11/28/2020,"3,663",11/21/2020,"21,220","1,199,243",1.77,,,
Arkansas,12/5/2020,"4,649",11/28/2020,"24,634","1,199,243",2.05,,,
Arkansas,12/12/2020,"4,049",12/5/2020,"21,953","1,199,243",1.83,,,
Arkansas,12/19/2020,"3,976",12/12/2020,"22,463","1,199,243",1.87,,,
Arkansas,12/26/2020,"3,663",12/19/2020,"19,868","1,199,243",1.66,,,
Arizona,1/5/2019,"3,086",12/29/2018,"19,239","2,784,393",0.69,,,
Arizona,1/12/2019,"4,711",1/5/2019,"19,360","2,784,393",0.7,,,
Arizona,1/19/2019,"4,210",1/12/2019,"19,295","2,784,393",0.69,,,
Arizona,1/26/2019,"3,681",1/19/2019,"19,580","2,784,393",0.7,,,
Arizona,2/2/2019,"3,536",1/26/2019,"19,553","2,784,393",0.7,,,
Arizona,2/9/2019,"3,310",2/2/2019,"19,595","2,784,393",0.7,,,
Arizona,2/16/2019,"3,224",2/9/2019,"19,634","2,784,393",0.71,,,
Arizona,2/23/2019,"2,905",2/16/2019,"19,362","2,784,393",0.7,,,
Arizona,3/2/2019,"3,276",2/23/2019,"19,231","2,784,393",0.69,,,
Arizona,3/9/2019,"3,403",3/2/2019,"19,057","2,784,393",0.68,,,
Arizona,3/16/2019,"3,388",3/9/2019,"19,088","2,784,393",0.69,,,
Arizona,3/23/2019,"3,402",3/16/2019,"18,987","2,784,393",0.68,,,
Arizona,3/30/2019,"3,740",3/23/2019,"19,112","2,784,393",0.69,,,
Arizona,4/6/2019,"5,029",3/30/2019,"18,755","2,804,467",0.67,,,
Arizona,4/13/2019,"5,848",4/6/2019,"19,736","2,804,467",0.7,,,
Arizona,4/20/2019,"5,330",4/13/2019,"21,027","2,804,467",0.75,,,
Arizona,4/27/2019,"5,303",4/20/2019,"22,912","2,804,467",0.82,,,
Arizona,5/4/2019,"4,635",4/27/2019,"23,733","2,804,467",0.85,,,
Arizona,5/11/2019,"4,264",5/4/2019,"24,879","2,804,467",0.89,,,
Arizona,5/18/2019,"4,280",5/11/2019,"25,497","2,804,467",0.91,,,
